Spectrum: C:\Users\danpa\Desktop\MS data for grace\CHCA 6 first MS 1_1\1Ref,,,,,,,,,,
,,,,,,,,,,
m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
522.393,40554.50,4446.723,307.442,10689.512,8503.628,387.727,0.242,0.061,21927.989,0
531.341,40896.94,251.275,16.824,4279.955,8212.606,23.614,0.014,0.065,376.906,0
541.355,41276.80,411.005,27.471,9513.679,8470.100,39.913,0.022,0.064,542.858,0
564.639,42146.60,780.425,51.155,5465.244,1306.617,511.594,0.042,0.432,1181.641,0
596.398,43304.46,349.118,21.846,2482.133,8161.941,37.189,0.019,0.073,781.085,0
617.385,44052.73,3763.878,235.764,31863.435,9559.896,371.813,0.205,0.065,15755.869,0
631.402,44545.36,969.544,59.833,7782.895,9566.157,98.226,0.053,0.066,4432.796,0
635.393,44684.66,283.255,17.092,3701.670,9357.459,30.189,0.015,0.068,596.402,0
650.448,45206.08,2598.703,158.222,15661.061,9787.372,264.880,0.141,0.066,11420.282,0
667.471,45788.43,1458.054,87.757,827.246,8854.333,173.957,0.079,0.075,117412.024,0
669.461,45856.03,13624.223,823.671,45581.774,6986.934,2028.364,0.742,0.096,137655.105,0
677.462,46126.76,184.636,10.651,1804.789,8625.353,21.874,0.010,0.079,282.502,0
687.477,46463.40,1301.466,77.731,5571.431,10289.902,135.738,0.071,0.067,1834.010,0
691.435,46595.75,1431.066,85.224,22591.316,9916.076,161.092,0.078,0.070,3439.086,0
697.462,46796.57,393.912,23.059,2198.150,11376.762,37.374,0.021,0.061,252.434,0
707.399,47125.80,235.624,13.537,5453.350,12253.901,24.405,0.013,0.058,180.059,0
715.470,47391.51,1041.333,60.897,16049.585,10843.077,109.210,0.057,0.066,2088.806,0
731.505,47914.92,461.043,26.527,7741.131,12942.144,45.988,0.025,0.057,718.146,0
774.443,49288.92,188.990,10.435,1337.778,11855.501,23.553,0.010,0.065,336.763,0
799.511,50073.43,2273.100,130.078,38574.127,12518.683,244.801,0.124,0.064,5264.504,0
816.538,50599.28,218.243,11.893,202.338,14969.717,19.404,0.012,0.055,884.203,0
817.520,50629.44,198.715,10.838,570.953,17702.956,15.103,0.011,0.046,894.573,0
818.440,50657.68,266.316,14.593,2065.679,12079.581,34.960,0.014,0.068,687.173,0
820.451,50719.33,216.403,11.739,1661.364,15846.885,22.308,0.012,0.052,455.736,0
837.578,51241.53,242.221,13.185,4456.268,13104.376,27.666,0.013,0.064,353.097,0
847.553,51543.17,1906.326,106.724,33218.839,15109.103,190.727,0.104,0.056,4003.566,0
857.537,51843.32,227.724,12.238,3755.532,16217.954,20.982,0.012,0.053,289.937,0
865.561,52083.30,1116.913,61.342,26857.344,15076.087,118.740,0.061,0.057,1622.529,0
955.576,54702.34,18371.625,976.731,39054.379,13539.734,2433.124,1.000,0.071,472109.996,0
973.589,55211.37,2482.231,130.871,36752.374,17162.779,268.051,0.135,0.057,6273.960,0
976.569,55295.13,209.101,10.553,2289.702,20979.033,19.931,0.011,0.047,345.084,0
1001.586,55993.22,1004.267,52.102,31720.915,18609.777,104.462,0.055,0.054,1078.148,0
1033.498,56871.19,340.770,17.136,5403.405,18386.915,36.412,0.019,0.056,555.597,0
1035.501,56925.82,357.214,17.963,2543.830,16721.621,41.525,0.019,0.062,537.263,0
1115.662,59070.97,345.991,16.636,4551.916,19755.289,39.412,0.019,0.056,773.622,0
1129.674,59437.92,399.342,18.884,7469.292,22047.997,41.914,0.022,0.051,554.186,0
1146.670,59879.96,379.854,17.969,2446.173,22759.354,40.437,0.021,0.050,1584.489,0
1158.672,60190.11,283.268,13.111,4041.916,18570.615,37.883,0.015,0.062,587.184,0
1169.709,60473.92,15333.604,728.153,64988.469,19057.718,2005.024,0.835,0.061,206052.210,0
1171.080,60509.09,241.609,11.082,3805.928,14418.811,42.042,0.013,0.081,492.041,0
1183.728,60832.50,9060.609,427.163,57004.260,19020.008,1198.771,0.493,0.062,84560.510,0
1185.746,60883.94,731.885,34.143,670.663,27460.276,70.146,0.040,0.043,22045.875,0
1187.725,60934.33,3786.793,179.039,42221.278,18835.374,506.734,0.206,0.063,16598.953,0
1197.713,61188.08,10156.307,477.824,50625.263,20991.504,1258.247,0.553,0.057,104015.678,0
1199.750,61239.68,612.180,28.168,587.241,27023.376,57.370,0.033,0.044,15670.903,0
1201.742,61290.14,2495.598,117.310,44492.451,19882.530,321.428,0.136,0.060,6879.595,0
